State,Abbreviation,Vote,Population,Land_area
Alabama,AL,red,"5,074,296","131,171"
Alaska,AK,red,"733,583","1,477,953"
Arizona,AZ,lightred,"7,359,197","294,207"
Arkansas,AR,red,"3,045,637","134,771"
California,CA,blue,"39,029,342","403,466"
Colorado,CO,blue,"5,839,926","268,431"
Connecticut,CT,blue,"3,626,205","12,542"
Delaware,DE,blue,"1,018,396","5,047"
District of Columbia,DC,blue,"671,803","158"
Florida,FL,swing,"22,244,823","138,887"
Georgia,GA,lightred,"10,912,876","148,959"
Hawaii,HI,blue,"1,440,196","16,635"
Idaho,ID,red,"1,939,033","214,045"
Illinois,IL,blue,"12,582,032","143,793"
Indiana,IN,lightred,"6,833,037","92,789"
Iowa,IA,swing,"3,200,517","144,669"
Kansas,KS,red,"2,937,150","211,754"
Kentucky,KY,red,"4,512,310","102,269"
Louisiana,LA,red,"4,590,241","111,898"
Maine,ME,blue,"1,385,340","79,883"
Maryland,MD,blue,"6,164,660","25,142"
Massachusetts,MA,blue,"6,981,974","20,202"
Michigan,MI,lightblue,"10,034,113","146,435"
Minnesota,MN,blue,"5,717,184","206,232"
Mississippi,MS,red,"2,940,057","121,531"
Missouri,MO,red,"6,177,957","178,040"
Montana,MT,red,"1,122,867","376,962"
Nebraska,NE,red,"1,967,923","198,974"
Nevada,NV,blue,"3,177,772","284,332"
New Hampshire,NH,blue,"1,395,231","23,187"
New Jersey,NJ,blue,"9,261,699","19,047"
New Mexico,NM,blue,"2,113,344","314,161"
New York,NY,blue,"19,677,151","122,057"
North Carolina,NC,lightred,"10,698,973","125,920"
North Dakota,ND,red,"779,261","178,711"
Ohio,OH,swing,"11,756,058","105,829"
Oklahoma,OK,red,"4,019,800","177,660"
Oregon,OR,blue,"4,240,137","248,608"
Pennsylvania,PA,lightblue,"12,972,008","115,883"
Rhode Island,RI,blue,"1,093,734","2,678"
South Carolina,SC,red,"5,282,634","77,857"
South Dakota,SD,red,"909,824","196,350"
Tennessee,TN,red,"7,051,339","106,798"
Texas,TX,red,"30,029,572","676,587"
Utah,UT,red,"3,380,800","212,818"
Vermont,VT,blue,"647,064","23,871"
Virginia,VA,blue,"8,683,619","102,279"
Washington,WA,blue,"7,785,786","172,119"
West Virginia,WV,red,"1,775,156","62,259"
Wisconsin,WI,lightblue,"5,892,539","140,268"
Wyoming,WY,red,"581,381","251,470"